x_ctrl_pts          CP
0.999958          0.981854
0.997927          -1.84916
0.990004          -1.50666
0.974288          -1.53238
0.951043          -1.35111
0.920655          -1.40601
0.883622          -1.32363
0.840553          -1.33859
0.792145          -1.29803
0.739181          -1.29548
0.682507          -1.27031
0.623025          -1.26036
0.561675          -1.24078
0.49942          -1.22839
0.437228          -1.21361
0.376286          -1.20293
0.317553          -1.18647
0.261679          -1.16867
0.209455          -1.14684
0.161645          -1.1256
0.118962          -1.09597
0.0820535          -1.06002
0.0515          -0.985723
0.0278025          -0.841808
0.01137          -0.405705
0.0025075          0.562747
0.001435          0.863071
0.008281          0.0336582
0.0230175          -0.46885
0.045458          -0.672907
0.0752845          -0.783711
0.112045          -0.839527
0.155158          -0.880176
0.20392          -0.904493
0.257518          -0.927353
0.315049          -0.943716
0.375515          -0.964973
0.437686          -0.983811
0.50058          -1.00611
0.563411          -1.02113
0.625174          -1.04309
0.684892          -1.05551
0.741623          -1.08418
0.79448          -1.09197
0.842644          -1.13816
0.88537          -1.13249
0.922007          -1.22213
0.951998          -1.18189
0.974892          -1.37045
0.990346          -1.36228
0.998131          -1.70731
1.00004          0.837745
