Angle of attack : 5.0
x_ctrl_pts          CP
0.999958          0.973908
0.999791          0.801891
0.999294          0.796405
0.998298          0.810253
0.996808          0.817301
0.994822          0.823317
0.992342          0.817486
0.989373          0.820356
0.985918          0.813816
0.981979          0.814736
0.977561          0.809912
0.972668          0.809586
0.967305          0.806263
0.961479          0.805289
0.955194          0.802954
0.948459          0.801769
0.941279          0.800007
0.933663          0.798847
0.925616          0.797458
0.917149          0.796422
0.908271          0.795279
0.898989          0.794349
0.889314          0.793401
0.879255          0.792579
0.868823          0.791799
0.858028          0.791103
0.846882          0.790401
0.835395          0.789802
0.823578          0.789232
0.811446          0.788684
0.799009          0.788167
0.78628          0.787712
0.773272          0.787253
0.759998          0.786846
0.74647          0.786444
0.732703          0.786072
0.718711          0.785697
0.704508          0.785361
0.690106          0.785011
0.675522          0.784711
0.660769          0.784391
0.645862          0.784119
0.630815          0.783822
0.615644          0.783573
0.600364          0.783306
0.584988          0.783106
0.569534          0.782863
0.554015          0.78271
0.538447          0.782514
0.522846          0.782436
0.507225          0.782298
0.491601          0.782327
0.475989          0.782308
0.460403          0.782474
0.444859          0.782601
0.429372          0.783021
0.413957          0.783504
0.398665          0.784387
0.383537          0.785102
0.368551          0.78569
0.353696          0.786097
0.338986          0.786596
0.324433          0.786967
0.310051          0.787517
0.295853          0.787947
0.281853          0.788654
0.268063          0.78922
0.254495          0.790166
0.241162          0.790943
0.228076          0.792212
0.215249          0.793282
0.202693          0.794983
0.190419          0.79645
0.178439          0.798657
0.166764          0.800621
0.155405          0.803506
0.144371          0.80607
0.133675          0.80977
0.123326          0.813125
0.113333          0.817855
0.103707          0.822163
0.094457          0.828181
0.085592          0.833705
0.077121          0.841334
0.0690525          0.848339
0.0613945          0.858024
0.054155          0.866916
0.0473415          0.879098
0.040961          0.890243
0.0350205          0.905408
0.0295265          0.919021
0.024485          0.937153
0.0199015          0.95262
0.0157815          0.97178
0.0121295          0.985676
0.00895          0.997902
0.006247          0.999416
0.004024          0.982932
0.002284          0.950032
0.001029          0.872351
0.0002615          0.791811
-1.5e-05          0.656806
0.0002045          0.562847
0.000922          0.437705
0.0021375          0.38669
0.0038515          0.320493
0.0060625          0.312649
0.0087685          0.29023
0.0119685          0.301704
0.01566          0.299924
0.0198395          0.316388
0.0245045          0.322059
0.0296505          0.338239
0.035273          0.345874
0.0413675          0.360288
0.047928          0.368149
0.0549485          0.380505
0.062423          0.387833
0.070344          0.398546
0.0787035          0.405174
0.087494          0.414584
0.096707          0.420734
0.106333          0.429072
0.116363          0.434782
0.126785          0.442397
0.137591          0.447791
0.148768          0.454919
0.160307          0.46016
0.172193          0.466911
0.184416          0.471991
0.196961          0.478517
0.209817          0.483603
0.222969          0.489988
0.236404          0.495106
0.250108          0.501391
0.264066          0.506586
0.278262          0.512903
0.292683          0.518184
0.307312          0.524537
0.322136          0.530003
0.337137          0.536431
0.352299          0.542094
0.367608          0.548793
0.383046          0.554867
0.398573          0.56217
0.414135          0.568842
0.429744          0.575598
0.44542          0.581391
0.461148          0.587445
0.476911          0.592815
0.492694          0.598496
0.508481          0.603603
0.524255          0.608985
0.540002          0.613863
0.555706          0.619059
0.57135          0.623767
0.58692          0.628763
0.602399          0.633322
0.617773          0.63819
0.633026          0.642629
0.648143          0.64735
0.663109          0.651691
0.677909          0.656292
0.69253          0.660552
0.706956          0.665087
0.721173          0.669281
0.735169          0.67372
0.748927          0.677889
0.762436          0.682313
0.775683          0.686411
0.788654          0.690801
0.801337          0.694911
0.813719          0.699291
0.825789          0.703432
0.837535          0.707799
0.848945          0.711945
0.860009          0.716364
0.870717          0.720512
0.881057          0.72499
0.89102          0.729219
0.900597          0.733764
0.909777          0.738033
0.918554          0.742687
0.926918          0.747003
0.934862          0.751831
0.942377          0.756153
0.949457          0.761249
0.956096          0.765478
0.962287          0.771058
0.968024          0.774888
0.973302          0.781303
0.978115          0.7844
0.98246          0.792133
0.986333          0.793642
0.989729          0.802808
0.992646          0.802148
0.995081          0.810208
0.997031          0.805745
0.998495          0.800122
0.999472          0.787256
0.999961          0.793576
1.00004          0.972083
