Angle of attack : 5.0
x_ctrl_pts          CP
1.0          0.734619
0.997927          0.442639
0.990004          0.372551
0.974288          0.871651
0.951043          0.579111
0.920655          0.828497
0.883622          0.694443
0.840553          0.789486
0.792145          0.735697
0.739181          0.772834
0.682507          0.750652
0.623025          0.76585
0.561675          0.756013
0.49942          0.762981
0.437228          0.759107
0.376286          0.764446
0.317553          0.763236
0.261679          0.767424
0.209455          0.767246
0.161645          0.776876
0.118962          0.782077
0.0820535          0.808063
0.0515          0.827501
0.0278025          0.899753
0.01137          0.94784
0.0025075          0.954481
0.001435          0.856964
0.008281          0.508841
0.0230175          0.541471
0.045458          0.497679
0.0752845          0.52837
0.112045          0.524423
0.155158          0.547694
0.20392          0.552611
0.257518          0.575749
0.315049          0.585995
0.375515          0.612647
0.437686          0.626779
0.50058          0.654234
0.563411          0.663167
0.625174          0.693702
0.684892          0.693246
0.741623          0.736704
0.79448          0.715973
0.842644          0.791625
0.88537          0.722408
0.922007          0.87073
0.951998          0.692053
0.974892          0.956242
0.990346          0.723227
0.998131          0.97127
