Angle of attack : 5.0
x_ctrl_pts          CP
0.999958          -0.119795
0.999806          -3.02307
0.999584          -1.06681
0.999142          -0.233698
0.998479          0.00214196
0.997595          0.0295968
0.99649          0.000203469
0.995166          -0.0415384
0.993623          -0.0730475
0.991861          -0.078726
0.989882          -0.064962
0.987686          -0.0517167
0.985275          -0.0472087
0.982649          -0.04617
0.979809          -0.055155
0.976758          -0.0725271
0.973496          -0.0810588
0.970025          -0.0627383
0.966346          -0.0309426
0.962463          0.00345171
0.958374          0.0371971
0.954085          0.0659059
0.949594          0.081902
0.944906          0.0768298
0.940022          0.0457609
0.934944          -0.00775614
0.929675          -0.0647494
0.924217          -0.100613
0.918573          -0.108539
0.912745          -0.0967303
0.906735          -0.075954
0.900548          -0.0541141
0.894184          -0.0349
0.887649          -0.0191469
0.880942          -0.00635984
0.87407          0.00422587
0.867034          0.0131188
0.859838          0.0201732
0.852483          0.0249083
0.844977          0.0272294
0.837318          0.0276116
0.829514          0.0265714
0.821565          0.0247628
0.813478          0.023318
0.805252          0.0234211
0.796897          0.0255648
0.788409          0.0295078
0.779799          0.034707
0.771067          0.0405571
0.762218          0.0463879
0.753254          0.0515859
0.744183          0.0557029
0.735004          0.0585061
0.725727          0.0599484
0.716349          0.0601267
0.706881          0.0591868
0.697323          0.0572013
0.687681          0.0541465
0.677957          0.0499626
0.668159          0.0446831
0.658288          0.0385174
0.648351          0.0317889
0.638349          0.0248716
0.628291          0.0180713
0.618175          0.0116658
0.608013          0.00587943
0.597803          0.000830767
0.587554          -0.00331587
0.577267          -0.00648725
0.566949          -0.00875993
0.556603          -0.0101951
0.546235          -0.0109161
0.535847          -0.0112839
0.525447          -0.0114197
0.515036          -0.0113651
0.504622          -0.0110362
0.494204          -0.0105582
0.483794          -0.0098495
0.473389          -0.00873912
0.463          -0.00696407
0.452626          -0.00495718
0.442276          -0.00291261
0.431951          -0.000265719
0.421658          0.00272847
0.411399          0.00559789
0.40121          0.00858186
0.391091          0.0115222
0.381036          0.0143967
0.371045          0.0171987
0.361113          0.0199766
0.35124          0.0225592
0.341434          0.0250259
0.331695          0.0273247
0.322032          0.0295184
0.312442          0.0315191
0.302936          0.0329412
0.293513          0.0341979
0.284181          0.0362653
0.274939          0.0373274
0.265795          0.0366787
0.256749          0.0370639
0.247808          0.0385124
0.238974          0.0380825
0.230251          0.0371206
0.22164          0.0368611
0.213149          0.0364232
0.204778          0.0357884
0.196532          0.0346926
0.188414          0.0335249
0.180428          0.0343593
0.172575          0.0339689
0.164862          0.0300926
0.157288          0.0297832
0.14986          0.030312
0.142578          0.0288783
0.135448          0.0275464
0.12847          0.0260784
0.12165          0.026879
0.114988          0.0266222
0.10849          0.0226126
0.102155          0.0226884
0.0959888          0.0252078
0.0899922          0.0249027
0.08417          0.0256602
0.078522          0.0269103
0.0730535          0.0304331
0.0677645          0.0341382
0.0626598          0.0374858
0.0577393          0.0440914
0.0530078          0.0529376
0.0484653          0.0648683
0.0441155          0.071766
0.0399585          0.0807397
0.0359987          0.111953
0.0322362          0.123961
0.0286742          0.153447
0.0253128          0.173616
0.0221553          0.21037
0.0192018          0.236782
0.0164555          0.29713
0.0139165          0.346516
0.011587          0.385403
0.009467          0.424478
0.007559          0.574627
0.005863          0.627939
0.004381          0.68318
0.003113          0.771027
0.00206075          0.869583
0.00122425          0.92267
0.0006045          0.979577
0.0002015          0.999512
1.775e-05          0.994761
5.325e-05          0.97291
0.00031025          0.890273
0.00078875          0.840553
0.0014885          0.718355
0.0024095          0.626024
0.00355175          0.581441
0.00491525          0.536321
0.00649925          0.360539
0.00830375          0.33277
0.0103275          0.30169
0.0125705          0.259156
0.0150312          0.185472
0.0177097          0.164282
0.020604          0.148484
0.023714          0.113126
0.0270375          0.101708
0.0305745          0.0924341
0.0343225          0.0538853
0.0382815          0.0494882
0.042448          0.0465114
0.046822          0.0367322
0.0514          0.0288938
0.056182          0.0259255
0.0611642          0.0193778
0.0663467          0.0185796
0.0717248          0.0189219
0.0772983          0.0176035
0.0830627          0.0169319
0.0890182          0.0171928
0.0951595          0.0176566
0.101487          0.018835
0.107994          0.0196534
