Angle of attack : 5.0
x_ctrl_pts          CP
0.114681          0.0201212
0.121541          0.0215742
0.128576          0.0227726
0.135779          0.0228337
0.14315          0.0239135
0.150681          0.0241571
0.158375          0.0245011
0.166221          0.0251547
0.174222          0.0253572
0.182369          0.0247334
0.190662          0.0245258
0.199095          0.0240151
0.207666          0.0231531
0.216369          0.022084
0.225201          0.020532
0.234157          0.0197032
0.243235          0.01758
0.252427          0.0150193
0.261732          0.0136951
0.271143          0.010413
0.28066          0.00856566
0.290273          0.00675759
0.299982          0.00489401
0.309777          0.00354966
0.319661          0.00227041
0.329622          0.00161933
0.33966          0.00094252
0.349768          0.00148286
0.359943          0.00146535
0.370177          0.00162102
0.38047          0.0025456
0.3908          0.00310047
0.401167          0.00356277
0.411545          0.00467019
0.421934          0.00491931
0.432355          0.00535618
0.442806          0.00535325
0.45328          0.00596073
0.463775          0.00603654
0.474283          0.00528851
0.484802          0.00476423
0.495325          0.00648904
0.50585          0.00658232
0.516369          0.00431304
0.526882          0.00467457
0.537378          0.00591747
0.547859          0.00567123
0.558314          0.00605118
0.568745          0.00656268
0.579141          0.00688323
0.589503          0.00737937
0.599821          0.0093284
0.610096          0.0101398
0.620318          0.0120117
0.630487          0.0133403
0.640595          0.0156369
0.650642          0.0173213
0.660618          0.0205103
0.670524          0.0226856
0.680351          0.0249722
0.690099          0.0276462
0.699759          0.0306262
0.709332          0.0327929
0.718809          0.0355561
0.72819          0.0374539
0.737468          0.0391481
0.746641          0.0408534
0.755703          0.0428494
0.764652          0.0441464
0.773482          0.0453442
0.782193          0.0465075
0.790776          0.0484794
0.799232          0.0497318
0.807554          0.0496282
0.81574          0.0504325
0.823786          0.052502
0.83169          0.0531276
0.839446          0.0524235
0.847053          0.0529399
0.854506          0.0537838
0.861805          0.0534793
0.868942          0.053427
0.875919          0.0535424
0.882728          0.0546644
0.889371          0.0561998
0.895841          0.0585821
0.902138          0.0608464
0.908258          0.0632521
0.9142          0.065524
0.919959          0.068146
0.925536          0.0715099
0.930925          0.0760344
0.936126          0.0810797
0.941136          0.0868881
0.945954          0.0926994
0.950576          0.0979965
0.955002          0.100418
0.959229          0.0981586
0.963256          0.0935109
0.96708          0.08795
0.970701          0.0809139
0.974117          0.0768397
0.977326          0.0816768
0.980326          0.0908895
0.983119          0.100253
0.9857          0.112446
0.988071          0.120059
0.990228          0.103962
0.992173          0.129885
0.993903          0.313385
0.995419          0.551635
0.996719          0.716751
0.997804          0.85578
0.998672          0.925065
0.999323          0.891598
0.999758          0.581216
0.999975          -0.486411
1.00004          0.859
